,lat,AC,HEAT,HAC,year
257,-28.74345588684082,0.0,9.430676e-05,9.430676e-05,2016
258,-27.80104637145996,0.0,0.0023713522,0.0023713522,2016
259,-26.858638763427734,0.0,0.00089271803,0.00089271803,2016
260,-25.916231155395508,1.8227835e-06,5.8185997e-05,6.0008784e-05,2016
261,-24.97382164001465,2.5867578e-07,5.5441677e-05,5.570035e-05,2016
262,-24.031414031982422,4.7786874e-05,1.6456404e-05,6.424327e-05,2016
263,-23.089004516601562,3.852028e-05,1.2439036e-06,3.9764185e-05,2016
264,-22.146596908569336,3.094616e-05,0.0,3.094616e-05,2016
265,-21.20418930053711,2.7985581e-05,1.08181675e-05,3.8803748e-05,2016
266,-20.26177978515625,8.286305e-05,0.0,8.286305e-05,2016
267,-19.319372177124023,5.2227006e-05,1.2076273e-05,6.4303276e-05,2016
268,-18.376962661743164,7.137251e-07,4.739781e-06,5.453506e-06,2016
269,-17.434555053710938,1.023782e-06,0.0,1.023782e-06,2016
270,-16.49214744567871,6.2420724e-05,0.0,6.2420724e-05,2016
271,-15.549737930297852,0.00023996085,0.0,0.00023996085,2016
272,-14.607329368591309,9.50243e-06,0.0,9.50243e-06,2016
273,-13.664921760559082,0.0,0.0,0.0,2016
274,-12.722513198852539,0.000103321494,0.0,0.000103321494,2016
275,-11.780104637145996,0.000107733795,0.0,0.000107733795,2016
276,-10.837696075439453,7.2192386e-05,0.0,7.2192386e-05,2016
277,-9.89528751373291,1.9697654e-05,0.0,1.9697654e-05,2016
278,-8.952879905700684,1.9376492e-05,0.0,1.9376492e-05,2016
279,-8.01047134399414,0.00016656709,0.0,0.00016656709,2016
280,-7.068062782287598,0.0010491075,0.0,0.0010491075,2016
281,-6.125654220581055,0.0005120001,0.0,0.0005120001,2016
282,-5.18324613571167,4.7193746e-05,0.0,4.7193746e-05,2016
283,-4.240837574005127,0.0,0.0,0.0,2016
284,-3.298429250717163,2.5903792e-05,0.0,2.5903792e-05,2016
285,-2.356020927429199,0.0001893649,0.0,0.0001893649,2016
286,-1.4136126041412354,4.7698915e-05,0.0,4.7698915e-05,2016
287,-0.4712041914463043,4.2755615e-05,0.0,4.2755615e-05,2016
288,0.4712041914463043,1.8893397e-05,0.0,1.8893397e-05,2016
289,1.4136126041412354,1.9038973e-05,0.0,1.9038973e-05,2016
290,2.356020927429199,1.1260039e-07,0.0,1.1260039e-07,2016
291,3.298429250717163,6.25253e-05,0.0,6.25253e-05,2016
292,4.240837574005127,5.5523058e-05,0.0,5.5523058e-05,2016
293,5.18324613571167,1.0947018e-06,0.0,1.0947018e-06,2016
294,6.125654220581055,0.0,0.0,0.0,2016
295,7.068062782287598,0.0,0.0,0.0,2016
296,8.01047134399414,0.0,0.0,0.0,2016
297,8.952879905700684,1.3695982e-05,0.0,1.3695982e-05,2016
298,9.89528751373291,0.0,0.0,0.0,2016
299,10.837696075439453,2.2364718e-05,0.0,2.2364718e-05,2016
300,11.780104637145996,1.478267e-08,0.0,1.478267e-08,2016
301,12.722513198852539,7.851977e-05,0.0,7.851977e-05,2016
302,13.664921760559082,9.2247055e-06,0.0,9.2247055e-06,2016
303,14.607329368591309,3.7118924e-05,0.0,3.7118924e-05,2016
304,15.549737930297852,9.333695e-08,0.0,9.333695e-08,2016
305,16.49214744567871,0.0,0.0,0.0,2016
306,17.434555053710938,2.0362294e-09,0.0,2.0362294e-09,2016
307,18.376962661743164,0.0,7.5959406e-08,7.5959406e-08,2016
308,19.319372177124023,0.0005171157,9.833859e-05,0.0006154543,2016
309,20.26177978515625,2.3939067e-05,2.3352557e-05,4.729162e-05,2016
310,21.20418930053711,2.5600979e-05,0.00021121836,0.00023681935,2016
311,22.146596908569336,0.012960335,0.000516554,0.013476889,2016
312,23.089004516601562,0.0030495897,0.002220942,0.0052705314,2016
