time,Arr_CUHI_0,Arr_CUHI_0_JJA,Arr_CUHI_0_DJF,Arr_SUHI_0,Arr_SUHI_0_JJA,Arr_SUHI_0_DJF,Arr_CUHI_1,Arr_CUHI_1_JJA,Arr_CUHI_1_DJF,Arr_SUHI_1,Arr_SUHI_1_JJA,Arr_SUHI_1_DJF,Arr_CUHI_2,Arr_CUHI_2_JJA,Arr_CUHI_2_DJF,Arr_SUHI_2,Arr_SUHI_2_JJA,Arr_SUHI_2_DJF
2030,0.7408777475357056,0.8301411867141724,0.6826353669166565,1.1994436979293823,1.3537302017211914,1.1779981851577759,-1.2184194326400757,-1.3490499258041382,-0.8655107617378235,-3.858060359954834,-4.338894844055176,-2.7253406047821045,0.6329914927482605,0.7130883932113647,0.5889367461204529,0.5327382683753967,0.6030738949775696,0.6371146440505981
2031,0.7544927597045898,0.8115450143814087,0.7061291933059692,1.2391982078552246,1.2974541187286377,1.1358206272125244,-1.1992636919021606,-1.2916224002838135,-0.982775092124939,-3.826148748397827,-4.2291693687438965,-2.9552316665649414,0.6386899352073669,0.6897928714752197,0.6006787419319153,0.5261467695236206,0.5142660737037659,0.5457267165184021
2032,0.7562255263328552,0.8229567408561707,0.6933976411819458,1.217136263847351,1.3152313232421875,1.22151517868042,-1.203705072402954,-1.3163188695907593,-0.8691419363021851,-3.8353896141052246,-4.313203811645508,-2.6885130405426025,0.6335371732711792,0.6911395788192749,0.5867498517036438,0.46462684869766235,0.472400963306427,0.6133324503898621
2033,0.7593374848365784,0.8306275010108948,0.6891263723373413,1.2664079666137695,1.352157473564148,1.1655079126358032,-1.1951767206192017,-1.3506441116333008,-0.8696660399436951,-3.812847375869751,-4.375340461730957,-2.744147539138794,0.6311060190200806,0.6918591856956482,0.5774084329605103,0.47374996542930603,0.4603576362133026,0.5288960337638855
2034,0.7407300472259521,0.8160730004310608,0.6927782893180847,1.2075016498565674,1.3052058219909668,1.1540640592575073,-1.2158174514770508,-1.3297791481018066,-0.9444521069526672,-3.822540044784546,-4.294050693511963,-2.902078151702881,0.6038605570793152,0.6715174317359924,0.5704953670501709,0.3774571418762207,0.38255974650382996,0.46551716327667236
2035,0.763442873954773,0.8296603560447693,0.6998036503791809,1.2472481727600098,1.2944059371948242,1.1722851991653442,-1.208921194076538,-1.326048731803894,-0.9404981136322021,-3.864473342895508,-4.364203453063965,-2.858363151550293,0.6188049912452698,0.6757237911224365,0.569492757320404,0.36226367950439453,0.3115328848361969,0.449818879365921
2036,0.767512857913971,0.8613368272781372,0.6754795908927917,1.261743426322937,1.415964126586914,1.13491690158844,-1.2215453386306763,-1.3646501302719116,-0.8597626686096191,-3.8801047801971436,-4.442041397094727,-2.7038068771362305,0.615866482257843,0.697202205657959,0.5466184020042419,0.33431631326675415,0.36217954754829407,0.41298502683639526
2037,0.7361031174659729,0.8106496930122375,0.6904215216636658,1.203961968421936,1.3050001859664917,1.1574324369430542,-1.1995378732681274,-1.336566686630249,-0.9225282669067383,-3.785080909729004,-4.273087501525879,-2.814598798751831,0.5789440870285034,0.6423539519309998,0.5506829023361206,0.2561008334159851,0.24750420451164246,0.383853018283844
2038,0.7576937675476074,0.8210997581481934,0.7087390422821045,1.2381409406661987,1.3035832643508911,1.2006497383117676,-1.2124114036560059,-1.3070076704025269,-0.9228143692016602,-3.8519766330718994,-4.286060333251953,-2.810861587524414,0.5909223556518555,0.6471158266067505,0.561345636844635,0.23135128617286682,0.1971040517091751,0.38650819659233093
2039,0.773216724395752,0.8471809029579163,0.7028168439865112,1.278815746307373,1.380298137664795,1.2182739973068237,-1.2160289287567139,-1.3516901731491089,-0.857449471950531,-3.8680927753448486,-4.399247646331787,-2.673933744430542,0.6002330183982849,0.6607103943824768,0.5571689009666443,0.22556394338607788,0.1978795975446701,0.39532190561294556
2040,0.7496936917304993,0.8140004873275757,0.7034361362457275,1.2455739974975586,1.3486428260803223,1.2086654901504517,-1.194305658340454,-1.3315294981002808,-0.8874285221099854,-3.784212112426758,-4.258415699005127,-2.7248973846435547,0.5706568956375122,0.6220196485519409,0.5478488802909851,0.16986913979053497,0.1512748897075653,0.3473720848560333
2041,0.7488791942596436,0.8068243861198425,0.682167649269104,1.250148057937622,1.306066632270813,1.1240781545639038,-1.1901276111602783,-1.303139328956604,-0.9526852965354919,-3.7677690982818604,-4.236590385437012,-2.8583285808563232,0.5634313821792603,0.6127904057502747,0.5142479538917542,0.1361323446035385,0.07938624173402786,0.2174350917339325
2042,0.7500242590904236,0.8276751637458801,0.6832888722419739,1.2245548963546753,1.3273504972457886,1.1294633150100708,-1.215181589126587,-1.3356229066848755,-0.9387260675430298,-3.8546221256256104,-4.356709003448486,-2.88201642036438,0.5532091856002808,0.616980791091919,0.5078241229057312,0.04965540021657944,0.010158050805330276,0.17467273771762848
2043,0.741420328617096,0.8442296385765076,0.6534188985824585,1.1988551616668701,1.3825955390930176,1.100020170211792,-1.232223391532898,-1.394132137298584,-0.8686017990112305,-3.888460397720337,-4.418694496154785,-2.7120347023010254,0.5381643176078796,0.6235809326171875,0.48244014382362366,-0.01272838469594717,0.012347654439508915,0.15940317511558533
2044,0.733860433101654,0.8196036219596863,0.6681581735610962,1.203169822692871,1.3232125043869019,1.0941805839538574,-1.2230114936828613,-1.3797913789749146,-0.9641802906990051,-3.834066152572632,-4.393176555633545,-2.905686855316162,0.5232197046279907,0.5926081538200378,0.4775257706642151,-0.04081585258245468,-0.08070486038923264,0.07780422270298004
2045,0.7564003467559814,0.836215078830719,0.6909471154212952,1.2482573986053467,1.3680963516235352,1.2116793394088745,-1.2387173175811768,-1.3744789361953735,-0.8587895631790161,-3.891369581222534,-4.394780158996582,-2.6925482749938965,0.5366621613502502,0.6001904010772705,0.506931483745575,-0.05685307830572128,-0.0923135057091713,0.19246016442775726
2046,0.7381798028945923,0.7838388085365295,0.6700712442398071,1.2225544452667236,1.2555588483810425,1.1094144582748413,-1.1962265968322754,-1.3005459308624268,-0.9503101110458374,-3.7872352600097656,-4.2061004638671875,-2.8595848083496094,0.5139431953430176,0.5498335361480713,0.4681742787361145,-0.10018856823444366,-0.1872284710407257,0.03384709358215332
2047,0.7521510124206543,0.8166008591651917,0.6530391573905945,1.2534304857254028,1.3421610593795776,1.1120352745056152,-1.220892310142517,-1.3287321329116821,-0.8707080483436584,-3.855790615081787,-4.341240882873535,-2.7102463245391846,0.5165321826934814,0.5658474564552307,0.45644015073776245,-0.13703811168670654,-0.20755574107170105,0.04003051295876503
2048,0.7270993590354919,0.7983309030532837,0.6621283292770386,1.2036510705947876,1.3127743005752563,1.107322335243225,-1.2141653299331665,-1.3541293144226074,-0.909454882144928,-3.80053973197937,-4.294620513916016,-2.8015294075012207,0.4870508909225464,0.5413354635238647,0.4523454010486603,-0.20031297206878662,-0.254533976316452,-0.018043560907244682
