time,Arr_TBOT_1,Arr_TBOT_1_JJA,Arr_TBOT_1_DJF,Arr_FSDS_1,Arr_FSDS_1_JJA,Arr_FSDS_1_DJF,Arr_FLDS_1,Arr_FLDS_1_JJA,Arr_FLDS_1_DJF,Arr_QBOT_1,Arr_QBOT_1_JJA,Arr_QBOT_1_DJF,Arr_PBOT_1,Arr_PBOT_1_JJA,Arr_PBOT_1_DJF,Arr_RAIN_1,Arr_RAIN_1_JJA,Arr_RAIN_1_DJF,Arr_SNOW_1,Arr_SNOW_1_JJA,Arr_SNOW_1_DJF
2026,18.444623947143555,23.608339309692383,12.036059379577637,193.5411376953125,218.99072265625,146.41043090820312,354.5700378417969,383.51910400390625,324.7383117675781,0.009767681360244751,0.011970419436693192,0.007717487867921591,95485.2265625,95313.1953125,95691.0078125,3.27610396197997e-05,3.9481954445363954e-05,2.5930672563845292e-05,1.1111299045296619e-06,3.930601621959795e-08,3.4308127396798227e-06
2027,18.53061866760254,23.700532913208008,12.527108192443848,193.7022705078125,219.20126342773438,145.138916015625,355.95965576171875,384.1380920410156,327.8370666503906,0.009950555860996246,0.012092340737581253,0.00791314896196127,95488.5703125,95329.3828125,95704.203125,3.2484113035025075e-05,3.938922600354999e-05,2.79197956842836e-05,1.232836098097323e-06,4.6176975132539155e-08,2.892503516704892e-06
2028,18.473241806030273,23.6962833404541,11.673271179199219,193.230224609375,217.80581665039062,145.99229431152344,355.39031982421875,384.6455078125,323.2296142578125,0.009854846633970737,0.012106317095458508,0.007593081798404455,95508.75,95363.5703125,95592.96875,3.2942454708972946e-05,4.1996314394054934e-05,2.656864671735093e-05,1.1427202935010428e-06,4.8980759004280117e-08,3.454738134678337e-06
2029,17.991769790649414,23.52350616455078,12.55909252166748,193.9943084716797,217.89718627929688,147.92481994628906,352.6680603027344,383.53778076171875,326.7886047363281,0.009673153050243855,0.012078081257641315,0.007843711413443089,95461.609375,95332.625,95553.8984375,3.287260187789798e-05,4.1726692870724946e-05,2.618526923470199e-05,1.2907048585475422e-06,4.437134748513927e-08,2.8708407171507133e-06
2030,18.661157608032227,23.812103271484375,12.360495567321777,191.9659423828125,217.2987518310547,146.06764221191406,357.5865173339844,385.6822814941406,326.31854248046875,0.010053368285298347,0.012197580188512802,0.00788436084985733,95463.5546875,95342.796875,95707.375,3.284082413301803e-05,3.974885476054624e-05,2.6839426936930977e-05,1.0780717047964572e-06,4.48904522443172e-08,3.2293958156515146e-06
2031,18.5466365814209,23.68973159790039,12.572673797607422,193.09310913085938,214.6121826171875,148.62625122070312,355.61859130859375,386.2286071777344,323.65386962890625,0.009942597709596157,0.012402694672346115,0.007529431022703648,95480.609375,95311.671875,95604.0234375,3.412237492739223e-05,4.5776159822707996e-05,2.6982903364114463e-05,1.1212799790882855e-06,4.077223536569363e-08,2.7338751351635437e-06
2032,18.19830894470215,23.52268409729004,11.32811450958252,192.6362762451172,217.6255340576172,146.2123260498047,353.2719421386719,383.07403564453125,322.0528564453125,0.009687022306025028,0.011972340755164623,0.007477898150682449,95459.578125,95329.71875,95645.8515625,3.307744555058889e-05,3.936690336558968e-05,2.4906985345296562e-05,1.1452008266132907e-06,4.251317164971624e-08,3.565555289242184e-06
2033,18.28761100769043,23.667404174804688,12.68028736114502,192.28773498535156,216.97850036621094,147.32456970214844,355.5273742675781,385.03948974609375,328.150390625,0.009825303219258785,0.012064036913216114,0.007993043400347233,95470.7265625,95332.6171875,95581.9140625,3.0915758543414995e-05,3.788809044635855e-05,2.7646257876767777e-05,1.290300701839442e-06,5.262875291123237e-08,3.3190510748681845e-06
2034,18.67313003540039,23.91130828857422,12.255722045898438,192.18984985351562,215.9226837158203,148.92332458496094,357.20513916015625,387.2059020996094,322.0928039550781,0.010097992606461048,0.012454849667847157,0.007502504158765078,95438.7578125,95342.296875,95634.5,3.5470027796691284e-05,4.509117570705712e-05,2.6907480787485838e-05,1.287811983274878e-06,3.164601380944987e-08,3.29929866893508e-06
2035,18.381168365478516,23.854272842407227,12.01838493347168,194.2339630126953,218.9814453125,149.24461364746094,353.1995544433594,384.9725036621094,320.749755859375,0.009640011936426163,0.012101884000003338,0.007429749239236116,95462.0,95319.90625,95623.6953125,3.363867290318012e-05,4.260579225956462e-05,2.6576595701044425e-05,1.356177904199285e-06,5.2584926635290685e-08,3.4291269912500866e-06
2036,18.512672424316406,23.914724349975586,12.410995483398438,194.189453125,220.92979431152344,144.7716827392578,355.29937744140625,384.7436828613281,328.3031921386719,0.009830370545387268,0.012001055292785168,0.007988234050571918,95498.8359375,95371.1171875,95604.4296875,3.0301274819066748e-05,3.3880194678204134e-05,2.8486016162787564e-05,1.2187398397145444e-06,4.835905897948578e-08,3.304758820377174e-06
