time,Arr_TBUILD_0_C,Arr_TBUILD_0_JJA_C,Arr_TBUILD_0_DJF_C,Arr_TBUILD_1_C,Arr_TBUILD_1_JJA_C,Arr_TBUILD_1_DJF_C,Arr_TBUILD_2_C,Arr_TBUILD_2_JJA_C,Arr_TBUILD_2_DJF_C,Arr_HIA_U_0,Arr_HIA_U_0_JJA,Arr_HIA_U_0_DJF,Arr_HIA_U_1,Arr_HIA_U_1_JJA,Arr_HIA_U_1_DJF,Arr_HIA_U_2,Arr_HIA_U_2_JJA,Arr_HIA_U_2_DJF,Arr_APPAR_TEMP_U_0,Arr_APPAR_TEMP_U_0_JJA,Arr_APPAR_TEMP_U_0_DJF,Arr_APPAR_TEMP_U_1,Arr_APPAR_TEMP_U_1_JJA,Arr_APPAR_TEMP_U_1_DJF,Arr_APPAR_TEMP_U_2,Arr_APPAR_TEMP_U_2_JJA,Arr_APPAR_TEMP_U_2_DJF,Arr_SWBGT_U_0,Arr_SWBGT_U_0_JJA,Arr_SWBGT_U_0_DJF,Arr_SWBGT_U_1,Arr_SWBGT_U_1_JJA,Arr_SWBGT_U_1_DJF,Arr_SWBGT_U_2,Arr_SWBGT_U_2_JJA,Arr_SWBGT_U_2_DJF,Arr_HUMIDEX_U_0,Arr_HUMIDEX_U_0_JJA,Arr_HUMIDEX_U_0_DJF,Arr_HUMIDEX_U_1,Arr_HUMIDEX_U_1_JJA,Arr_HUMIDEX_U_1_DJF,Arr_HUMIDEX_U_2,Arr_HUMIDEX_U_2_JJA,Arr_HUMIDEX_U_2_DJF,Arr_DISCOIS_U_0_,Arr_DISCOIS_U_0_JJA,Arr_DISCOIS_U_0_DJF,Arr_DISCOIS_U_1,Arr_DISCOIS_U_1_JJA,Arr_DISCOIS_U_1_DJF,Arr_DISCOIS_U_2,Arr_DISCOIS_U_2_JJA,Arr_DISCOIS_U_2_DJF,Arr_DISCOIS_U_0
2025,22.998559570312523,26.690454101562523,19.346185302734398,21.185052490234398,24.603295898437523,17.969201660156273,22.707269287109398,26.347863769531273,19.131799316406273,20.435253143310547,26.405601501464844,13.880274772644043,19.880525588989258,25.818140029907227,13.40603256225586,20.358306884765625,26.321823120117188,13.816485404968262,18.469852447509766,25.079666137695312,11.142123222351074,18.09465980529785,24.676422119140625,10.821953773498535,18.41559410095215,25.01983642578125,11.09763240814209,20.974897384643555,25.405569076538086,16.240489959716797,20.71449851989746,25.123327255249023,16.018268585205078,20.937421798706055,25.364116668701172,16.209501266479492,22.394136428833008,29.747228622436523,14.4799165725708,21.923738479614258,29.23940658569336,14.076702117919922,22.3270263671875,29.673234939575195,14.424180030822754,16.8217716217041,21.810213088989258,11.273886680603027,16.483200073242188,21.453479766845703,10.976273536682129,16.774036407470703,21.758819580078125,11.233128547668457,16.8217716217041
2026,23.022180175781273,26.629113769531273,19.338372802734398,21.204522705078148,24.571160888671898,17.979425048828148,22.729302978515648,26.290063476562523,19.126123046875023,20.525941848754883,26.25053596496582,13.615551948547363,19.975234985351562,25.67391014099121,13.144730567932129,20.449018478393555,26.167774200439453,13.551920890808105,18.634326934814453,25.076202392578125,10.933568954467773,18.258512496948242,24.6801700592041,10.624107360839844,18.579885482788086,25.01718521118164,10.890013694763184,21.081674575805664,25.403209686279297,16.105396270751953,20.820899963378906,25.124887466430664,15.889243125915527,21.044103622436523,25.362245559692383,16.075088500976562,22.5748233795166,29.736238479614258,14.233253479003906,22.104053497314453,29.236495971679688,13.841411590576172,22.507535934448242,29.663190841674805,14.178743362426758,16.970853805541992,21.813629150390625,11.040761947631836,16.63276481628418,21.46398162841797,10.75168514251709,16.923025131225586,21.763025283813477,11.000908851623535,16.970853805541992
2027,23.188623046875023,26.749108886718773,19.455651855468773,21.371087646484398,24.665521240234398,18.090112304687523,22.895379638671898,26.406945800781273,19.242517089843773,20.76559829711914,26.535987854003906,14.140816688537598,20.21306610107422,25.951396942138672,13.669317245483398,20.688377380371094,26.452123641967773,14.077134132385254,18.8254337310791,25.212919235229492,11.56828784942627,18.45276641845703,24.81451416015625,11.25635814666748,18.77129554748535,25.153545379638672,11.524650573730469,21.24227523803711,25.52950096130371,16.502954483032227,20.98377227783203,25.25046730041504,16.28543472290039,21.204923629760742,25.488370895385742,16.47254753112793,22.81968879699707,29.931875228881836,14.893158912658691,22.352638244628906,29.429824829101562,14.49862003326416,22.752771377563477,29.85841178894043,14.838482856750488,17.081266403198242,21.903091430664062,11.530896186828613,16.745866775512695,21.55120086669922,11.239824295043945,17.033710479736328,21.85211753845215,11.490974426269531,17.081266403198242
2028,23.062341308593773,26.722070312500023,19.217706298828148,21.245080566406273,24.662896728515648,17.866906738281273,22.769036865234398,26.384118652343773,19.007226562500023,20.68861961364746,26.540416717529297,13.246346473693848,20.139047622680664,25.96378517150879,12.781387329101562,20.611738204956055,26.457746505737305,13.183564186096191,18.726520538330078,25.207778930664062,10.502752304077148,18.35625648498535,24.81382179260254,10.195467948913574,18.672576904296875,25.149009704589844,10.459513664245605,21.15188217163086,25.53101348876953,15.823746681213379,20.89411735534668,25.25371551513672,15.60802936553955,21.114578247070312,25.490135192871094,15.793510437011719,22.680150985717773,29.93258285522461,13.765843391418457,22.214677810668945,29.43433952331543,13.375507354736328,22.613346099853516,29.85968589782715,13.71159553527832,17.011058807373047,21.90243148803711,10.690954208374023,16.676687240600586,21.553871154785156,10.403334617614746,16.963584899902344,21.85198974609375,10.651317596435547,17.011058807373047
2029,22.890039062500023,26.474145507812523,19.516381835937523,21.097436523437523,24.457666015625023,18.116571044921898,22.601068115234398,26.141748046875023,19.230401611328148,20.092174530029297,26.251249313354492,14.140848159790039,19.541120529174805,25.67327880859375,13.64907169342041,20.01522445678711,26.16834259033203,14.054272651672363,18.16006088256836,25.049283981323242,11.535398483276367,17.786991119384766,24.658588409423828,11.209057807922363,18.105880737304688,24.990806579589844,11.475675582885742,20.771772384643555,25.42261505126953,16.470685958862305,20.513132095336914,25.14738655090332,16.2459774017334,20.734439849853516,25.381946563720703,16.429393768310547,22.04722023010254,29.74343490600586,14.850105285644531,21.579914093017578,29.248733520507812,14.44134521484375,21.98029899597168,29.670839309692383,14.775740623474121,16.5538330078125,21.78380012512207,11.511934280395508,16.217689514160156,21.437105178833008,11.209121704101562,16.506174087524414,21.733449935913086,11.45744800567627,16.5538330078125
2030,23.194970703125023,26.769250488281273,19.514062500000023,21.390435791015648,24.722528076171898,18.148461914062523,22.770196533203148,26.277368164062523,19.202966308593773,20.8875732421875,26.65777587890625,14.02271556854248,20.336271286010742,26.07843017578125,13.549274444580078,20.774137496948242,26.53513526916504,13.92791748046875,19.01190757751465,25.380102157592773,11.353513717651367,18.64215660095215,24.986745834350586,11.041577339172363,18.932998657226562,25.29392433166504,11.288825988769531,21.375614166259766,25.651851654052734,16.393945693969727,21.118928909301758,25.375974655151367,16.177988052368164,21.321020126342773,25.591938018798828,16.349117279052734,23.032787322998047,30.124649047851562,14.706623077392578,22.56883430480957,29.628219604492188,14.31412124633789,22.934946060180664,30.017654418945312,14.625852584838867,17.235837936401367,22.024551391601562,11.364627838134766,16.902666091918945,21.676849365234375,11.073515892028809,17.166303634643555,21.950416564941406,11.305302619934082,17.235837936401367
2031,23.095513916015648,26.569604492187523,19.254144287109398,21.296502685546898,24.587823486328148,17.827294921875023,22.670861816406273,26.089959716796898,18.930505371093773,20.777170181274414,26.54860496520996,14.078703880310059,20.224214553833008,25.976184844970703,13.577722549438477,20.66307258605957,26.427021026611328,13.981164932250977,18.842479705810547,25.403217315673828,11.38879680633545,18.469505310058594,25.01924705505371,11.047751426696777,18.762788772583008,25.318729400634766,11.320292472839355,21.245677947998047,25.704565048217773,16.282407760620117,20.987144470214844,25.4326114654541,16.047679901123047,21.19064712524414,25.645408630371094,16.234806060791016,22.825902938842773,30.174484252929688,14.58239459991455,22.358543395996094,29.68647003173828,14.156001091003418,22.727184295654297,30.069011688232422,14.496661186218262,17.087888717651367,22.014904022216797,11.423796653747559,16.75165557861328,21.674652099609375,11.10818099975586,17.017568588256836,21.94202423095703,11.360958099365234,17.087888717651367
2032,22.872918701171898,26.455529785156273,19.286798095703148,21.078363037109398,24.443566894531273,17.902612304687523,22.450128173828148,25.970849609375023,18.971093750000023,20.28215980529785,26.177017211914062,12.903045654296875,19.72620964050293,25.59453582763672,12.423772811889648,20.168209075927734,26.05385398864746,12.808449745178223,18.3654727935791,24.980409622192383,10.148226737976074,17.990612030029297,24.58690643310547,9.829216957092285,18.285602569580078,24.894092559814453,10.08280086517334,20.893573760986328,25.355812072753906,15.568939208984375,20.633459091186523,25.078989028930664,15.350359916687012,20.83835220336914,25.295734405517578,15.523909568786621,22.25750160217285,29.647655487060547,13.338339805603027,21.78753089904785,29.150104522705078,12.940439224243164,22.15852928161621,29.540409088134766,13.25707721710205,16.730648040771484,21.7327823638916,10.362100601196289,16.392513275146484,21.384143829345703,10.066437721252441,16.660154342651367,21.658374786376953,10.302337646484375,16.730648040771484
2033,23.123468017578148,26.678155517578148,19.705712890625023,21.320245361328148,24.645349121093773,18.341821289062523,22.699182128906273,26.190332031250023,19.395501708984398,20.450695037841797,26.397294998168945,14.391790390014648,19.9029541015625,25.82118797302246,13.910624504089355,20.33793830871582,26.27536964416504,14.295954704284668,18.517696380615234,25.17953872680664,11.693825721740723,18.14862632751465,24.78646469116211,11.376476287841797,18.438705444335938,25.093265533447266,11.628413200378418,21.03041648864746,25.488449096679688,16.6286563873291,20.774574279785156,25.212055206298828,16.408533096313477,20.9759464263916,25.428476333618164,16.583303451538086,22.474254608154297,29.86942481994629,15.09953784942627,22.011770248413086,29.372760772705078,14.700457572937012,22.3765811920166,29.762399673461914,15.017948150634766,16.84613037109375,21.878158569335938,11.632344245910645,16.513620376586914,21.53125762939453,11.338862419128418,16.776607513427734,21.804100036621094,11.572824478149414,16.84613037109375
2034,23.247125244140648,26.812860107421898,19.202386474609398,21.450067138671898,24.823114013671898,17.802575683593773,22.823663330078148,26.332879638671898,18.817529296875023,20.981618881225586,26.918575286865234,13.803372383117676,20.427318572998047,26.342802047729492,13.316671371459961,20.867340087890625,26.796228408813477,13.68702507019043,19.03034019470215,25.642515182495117,10.980626106262207,18.65765380859375,25.256916046142578,10.648311614990234,18.950763702392578,25.5574951171875,10.898653030395508,21.406761169433594,25.864286422729492,16.09228515625,21.149063110351562,25.592117309570312,15.862401008605957,21.351842880249023,25.80489730834961,16.035165786743164,23.076589584350586,30.445114135742188,14.25354290008545,22.610523223876953,29.956348419189453,13.836459159851074,22.978036880493164,30.339191436767578,14.150787353515625,17.22764015197754,22.168655395507812,11.144420623779297,16.89289665222168,21.82774543762207,10.835421562194824,17.15753746032715,22.09547996520996,11.068973541259766,17.22764015197754
2035,22.958398437500023,26.801141357421898,19.235864257812523,21.148065185546898,24.771325683593773,17.834191894531273,22.396722412109398,26.156854248046898,18.815484619140648,20.465900421142578,26.588651657104492,13.506183624267578,19.912065505981445,26.008928298950195,13.000494956970215,20.314754486083984,26.425975799560547,13.373894691467285,18.49242401123047,25.425628662109375,10.691671371459961,18.11448097229004,25.031938552856445,10.353713035583496,18.38570213317871,25.311134338378906,10.600363731384277,20.969589233398438,25.6264591217041,15.907496452331543,20.70728874206543,25.349342346191406,15.675559043884277,20.895767211914062,25.546607971191406,15.844280242919922,22.400793075561523,30.097524642944336,13.941741943359375,21.92742919921875,29.599931716918945,13.520217895507812,22.268512725830078,29.955049514770508,13.827820777893066,16.84518051147461,22.020002365112305,10.898163795471191,16.505224227905273,21.672807693481445,10.584991455078125,16.751001358032227,21.92146873474121,10.814363479614258,16.84518051147461
2036,23.182244873046898,26.974053955078148,19.539880371093773,21.359307861328148,24.877557373046898,18.172265625000023,22.615869140625023,26.308526611328148,19.130426025390648,20.671796798706055,26.656572341918945,14.1318941116333,20.116531372070312,26.078336715698242,13.652117729187012,20.519798278808594,26.493717193603516,14.004899024963379,18.75724220275879,25.407766342163086,11.4757719039917,18.38176155090332,25.008630752563477,11.162463188171387,18.650787353515625,25.291296005249023,11.390325546264648,21.162565231323242,25.60131072998047,16.480010986328125,20.902389526367188,25.321319580078125,16.263368606567383,21.089021682739258,25.520427703857422,16.420703887939453,22.70463752746582,30.081552505493164,14.837761878967285,22.234365463256836,29.578332901000977,14.443887710571289,22.57269859313965,29.93711280822754,14.730758666992188,17.029098510742188,22.050992965698242,11.42376708984375,16.690908432006836,21.69884490966797,11.132854461669922,16.935094833374023,21.950809478759766,11.345468521118164,17.029098510742188
2037,23.317864990234398,27.075036621093773,19.412774658203148,21.537957763671898,25.057641601562523,18.012902832031273,22.763726806640648,26.432031250000023,18.993157958984398,21.159683227539062,27.138154983520508,14.081889152526855,20.60532569885254,26.559247970581055,13.592294692993164,21.007400512695312,26.975175857543945,13.952898979187012,19.21741485595703,25.904373168945312,11.35539722442627,18.848373413085938,25.516645431518555,11.028117179870605,19.112653732299805,25.791763305664062,11.266560554504395,21.55953598022461,26.055818557739258,16.36077880859375,21.30406951904297,25.783058166503906,16.134965896606445,21.48712921142578,25.97718620300293,16.299091339111328,23.31193733215332,30.75172996520996,14.678021430969238,22.849838256835938,30.26096534729004,14.267814636230469,23.181922912597656,30.61110496520996,14.566831588745117,17.347461700439453,22.34024429321289,11.391149520874023,17.015546798706055,21.99755096435547,11.087193489074707,17.254898071289062,22.24280548095703,11.309417724609375,17.347461700439453
2038,23.135736083984398,26.892449951171898,19.412957763671898,21.327661132812523,24.901513671875023,17.978631591796898,22.573205566406273,26.256890869140648,18.985986328125023,20.755491256713867,26.888965606689453,13.633882522583008,20.199621200561523,26.316579818725586,13.142900466918945,20.60301399230957,26.727252960205078,13.505288124084473,18.822668075561523,25.733516693115234,10.988917350769043,18.446870803833008,25.350025177001953,10.658235549926758,18.71586799621582,25.621217727661133,10.899458885192871,21.21162223815918,25.898786544799805,16.075950622558594,20.95186424255371,25.627601623535156,15.850207328796387,21.138015747070312,25.820308685302734,16.01420783996582,22.782793045043945,30.512903213500977,14.200236320495605,22.313125610351562,30.02604866027832,13.788893699645996,22.650665283203125,30.37281608581543,14.088757514953613,17.07192039489746,22.238014221191406,11.04326057434082,16.733943939208984,21.8984375,10.73818588256836,16.977659225463867,22.141082763671875,10.96131420135498,17.07192039489746
2039,23.173364257812523,27.156518554687523,19.601342773437523,21.349359130859398,25.087609863281273,18.221063232421898,22.608209228515648,26.499993896484398,19.122430419921898,20.526443481445312,26.81022834777832,13.342607498168945,19.975961685180664,26.230915069580078,12.86790657043457,20.375450134277344,26.646699905395508,13.196242332458496,18.62000846862793,25.61952781677246,10.717092514038086,18.24568748474121,25.225317001342773,10.4052095413208,18.51381492614746,25.504106521606445,10.61785888671875,21.052404403686523,25.76303482055664,15.950636863708496,20.792484283447266,25.485321044921875,15.733345031738281,20.978899002075195,25.68257713317871,15.881332397460938,22.53096580505371,30.349735260009766,13.952503204345703,22.061450958251953,29.85074806213379,13.558192253112793,22.399166107177734,30.206073760986328,13.827795028686523,16.909595489501953,22.213340759277344,10.738045692443848,16.572280883789062,21.864484786987305,10.447532653808594,16.815736770629883,22.113800048828125,10.646964073181152,16.909595489501953
2040,23.270928955078148,26.898431396484398,19.499780273437523,21.478692626953148,24.896447753906273,18.112420654296898,22.578729248046898,26.106591796875023,18.982507324218773,20.878082275390625,26.98699188232422,13.646492958068848,20.324424743652344,26.409320831298828,13.165534019470215,20.687227249145508,26.782451629638672,13.48668098449707,18.927791595458984,25.655668258666992,10.94086742401123,18.55767250061035,25.266382217407227,10.621866226196289,18.796321868896484,25.513912200927734,10.831788063049316,21.34032440185547,25.89374351501465,16.09488296508789,21.083723068237305,25.620100021362305,15.87458324432373,21.249319076538086,25.794763565063477,16.019195556640625,22.96286964416504,30.495738983154297,14.210409164428711,22.499027252197266,30.003507614135742,13.809930801391602,22.799482345581055,30.318695068359375,14.07382869720459,17.119285583496094,22.189180374145508,10.968549728393555,16.78622817993164,21.84464454650879,10.672268867492676,17.002904891967773,22.066162109375,10.868226051330566,17.119285583496094
2041,23.222528076171898,27.043237304687523,19.546655273437523,21.449700927734398,25.104882812500023,18.127099609375023,22.537194824218773,26.276574707031273,19.017327880859398,20.722068786621094,27.21836280822754,14.329490661621094,20.17548942565918,26.65577507019043,13.829422950744629,20.533008575439453,27.018064498901367,14.164261817932129,18.754444122314453,25.941064834594727,11.720163345336914,18.38629913330078,25.562471389770508,11.387124061584473,18.623218536376953,25.802120208740234,11.607357025146484,21.212039947509766,26.09031867980957,16.595382690429688,20.956886291503906,25.822084426879883,16.367277145385742,21.12127113342285,25.99284553527832,16.51744270324707,22.75601577758789,30.814786911010742,15.060284614562988,22.294910430908203,30.3337345123291,14.644883155822754,22.593061447143555,30.64090919494629,14.919417381286621,16.973793029785156,22.390892028808594,11.664081573486328,16.642732620239258,22.056419372558594,11.356895446777344,16.857698440551758,22.270877838134766,11.560891151428223,16.973793029785156
