time,Arr_TBUILD_2_C,Arr_TBUILD_2_JJA_C,Arr_TBUILD_2_DJF_C,Arr_HIA_U_2,Arr_HIA_U_2_JJA,Arr_HIA_U_2_DJF,Arr_APPAR_TEMP_U_2,Arr_APPAR_TEMP_U_2_JJA,Arr_APPAR_TEMP_U_2_DJF,Arr_SWBGT_U_2,Arr_SWBGT_U_2_JJA,Arr_SWBGT_U_2_DJF,Arr_HUMIDEX_U_2,Arr_HUMIDEX_U_2_JJA,Arr_HUMIDEX_U_2_DJF,Arr_DISCOIS_U_2,Arr_DISCOIS_U_2_JJA,Arr_DISCOIS_U_2_DJF
2025,22.693414306640648,26.328332519531273,19.111505126953148,20.35443115234375,26.316810607910156,13.810378074645996,18.412986755371094,25.016357421875,11.093414306640625,20.935691833496094,25.361772537231445,16.206600189208984,22.323867797851562,29.668975830078125,14.418922424316406,16.771717071533203,21.755786895751953,11.229256629943848
2026,22.689202880859398,26.239770507812523,19.086572265625023,20.43834686279297,26.15536880493164,13.53995132446289,18.572372436523438,25.008359909057617,10.88185977935791,21.0389347076416,25.356121063232422,16.069429397583008,22.49825096130371,29.652240753173828,14.16854476928711,16.916393280029297,21.755395889282227,10.993413925170898
2027,22.828393554687523,26.324517822265648,19.183190917968773,20.67041778564453,26.431598663330078,14.059103965759277,18.758764266967773,25.139095306396484,11.512343406677246,21.1962833404541,25.47835350036621,16.463972091674805,22.737253189086914,29.840478897094727,14.823036193847656,17.02263832092285,21.839609146118164,11.479645729064941
2028,22.675073242187523,26.271508789062523,18.929254150390648,20.586599349975586,26.429767608642578,13.159765243530273,18.65502166748047,25.12921714782715,10.443222999572754,21.1024227142334,25.476341247558594,15.782102584838867,22.591533660888672,29.83502960205078,13.691093444824219,16.948034286499023,21.834854125976562,10.636300086975098
2029,22.481774902343773,26.000207519531273,19.195306396484398,19.982633590698242,26.132434844970703,14.043124198913574,18.08308982849121,24.965614318847656,11.468215942382812,20.71870994567871,25.364381790161133,16.42436981201172,21.952062606811523,29.639423370361328,14.76655101776123,16.48598289489746,21.7115535736084,11.4506254196167
2030,22.756280517578148,26.257928466796898,19.182580566406273,20.770170211791992,26.530046463012695,13.921567916870117,18.930356979370117,25.290441513061523,11.284543991088867,21.31926918029785,25.589557647705078,16.346172332763672,22.931718826293945,30.013351440429688,14.620513916015625,17.16394805908203,21.947370529174805,11.301352500915527
2031,22.630700683593773,26.040643310546898,18.888696289062523,20.65192413330078,26.414180755615234,13.968194961547852,18.755088806152344,25.309904098510742,11.311244010925293,21.18535041809082,25.639238357543945,16.228530883789062,22.71763801574707,30.057960510253906,14.485323905944824,17.010723114013672,21.934314727783203,11.352617263793945
2032,22.383416748046898,25.890161132812523,18.910241699218773,20.149654388427734,26.032852172851562,12.789572715759277,18.272720336914062,24.879487991333008,10.069862365722656,20.829444885253906,25.285545349121094,15.515015602111816,22.142505645751953,29.522159576416016,13.240981101989746,16.6486873626709,21.6456298828125,10.290441513061523
2033,22.605218505859398,26.077966308593773,19.315881347656273,20.31205940246582,26.246545791625977,14.270456314086914,18.420793533325195,25.073076248168945,11.611159324645996,20.963571548461914,25.414384841918945,16.571346282958984,22.354320526123047,29.737184524536133,14.996367454528809,16.76069450378418,21.78656005859375,11.557024955749512
2034,22.702722167968773,26.191247558593773,18.782342529296898,20.833446502685547,26.759031295776367,13.675378799438477,18.927392959594727,25.53196144104004,10.890745162963867,21.33570098876953,25.787002563476562,16.02979278564453,22.948965072631836,30.30716323852539,14.140949249267578,17.136756896972656,22.073213577270508,11.0616455078125
